date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2023-01-01,SWE,ISL,0.21503347156858177,7597.194,1633.651,7597.194,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,1633.651,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,7597.194,0,World,W00,352,Iceland,ISL,202301,1633.651,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,IRL,0.5554881158536585,164000.0,91100.051,164000.0,kg,8,4,164000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,91100.051,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,164000.0,0,World,W00,372,Ireland,IRL,202301,91100.051,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,ISR,0.33405180952380953,21000.0,7015.088,21000.0,kg,8,4,21000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,7015.088,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,21000.0,0,World,W00,376,Israel,ISR,202301,7015.088,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,ITA,0.21503354823647525,2681.363,576.583,2681.363,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,576.583,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,2681.363,0,World,W00,380,Italy,ITA,202301,576.583,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,CIV,0.2956979940711462,506000.0,149623.185,506000.0,kg,8,4,506000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,149623.185,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,506000.0,0,World,W00,384,Côte d'Ivoire,CIV,202301,149623.185,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,JPN,0.2150330950963763,893.788,192.194,893.788,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,192.194,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,893.788,0,World,W00,392,Japan,JPN,202301,192.194,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,KOR,0.21503342670895664,30835.671,6630.7,30835.671,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,6630.7,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,30835.671,0,World,W00,410,Rep. of Korea,KOR,202301,6630.7,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,LTU,0.08408495833333333,24000.0,2018.039,24000.0,kg,8,4,24000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2018.039,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,24000.0,0,World,W00,440,Lithuania,LTU,202301,2018.039,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,NLD,0.16063576386937078,107681.363,17297.478,107681.363,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,17297.478,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,107681.363,0,World,W00,528,Netherlands,NLD,202301,17297.478,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,NOR,0.27813947671911077,1294241.8,359979.737,1294241.8,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,359979.737,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,1294241.8,0,World,W00,579,Norway,NOR,202301,359979.737,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,POL,0.05162498058252427,309000.0,15952.119,309000.0,kg,8,4,309000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,15952.119,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,309000.0,0,World,W00,616,Poland,POL,202301,15952.119,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,ROU,0.11811935416666668,48000.0,5669.729,48000.0,kg,8,4,48000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,5669.729,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,48000.0,0,World,W00,642,Romania,ROU,202301,5669.729,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,SAU,0.40360781904761905,105000.0,42378.821,105000.0,kg,8,4,105000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,42378.821,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,105000.0,0,World,W00,682,Saudi Arabia,SAU,202301,42378.821,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,IND,0.21503345065344887,8044.088,1729.748,8044.088,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,1729.748,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,8044.088,0,World,W00,699,India,IND,202301,1729.748,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,SGP,0.2150334202968202,13853.707,2979.01,13853.707,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2979.01,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,13853.707,0,World,W00,702,Singapore,SGP,202301,2979.01,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,ESP,0.2150334319399099,8490.982,1825.845,8490.982,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,1825.845,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,8490.982,0,World,W00,724,Spain,ESP,202301,1825.845,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,CHE,0.21503341717290067,104126.253,22390.624,104126.253,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,22390.624,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,104126.253,0,World,W00,757,Switzerland,CHE,202301,22390.624,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,GBR,0.2150334950981078,3575.15,768.777,3575.15,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,768.777,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,3575.15,0,World,W00,826,United Kingdom,GBR,202301,768.777,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-01-01,SWE,USA,0.21503342490165714,65693.387,14126.274,65693.387,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,14126.274,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,65693.387,0,World,W00,842,USA,USA,202301,14126.274,kg,8,1,20230101,2023,752,Sweden,SWE,C,export
2023-02-01,SWE,W00,0.47541754149406706,8703282.971,4137693.393,8703282.971,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,4137693.393,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,8703282.971,0,World,W00,0,World,W00,202302,4137693.393,kg,8,2,20230201,2023,752,Sweden,SWE,C,export
2023-02-01,SWE,AUS,0.2189814831426369,3065.693,671.33,3065.693,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,671.33,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,3065.693,0,World,W00,36,Australia,AUS,202302,671.33,kg,8,2,20230201,2023,752,Sweden,SWE,C,export
