temp,h2so4,na2so4,solid
46,80.44,1.92,?
46,78.58,1.92,?
46,72.16,7.5,?
46,74.83,3.7,?
46,67.76,4.51,?
46,65.59,6.04,?
46,64.8,6.16,nahso4
46,62.46,6.4,nahso4
46,61.79,6.82,nahso4
46,56.0,9.93,nahso4
46,55.5,10.2,nahso4
46,52.65,12.41,nahso4
46,51.31,14.21,nahso4
46,49.6,16.0,nahso4
46,48.32,17.76,nahso4 • h2o
46,48.5,17.71,nahso4 • h2o
46,45.17,19.85,nahso4 • h2o
46,44.52,20.5,nahso4 • h2o
46,43.9,21.0,nahso4 • h2o
46,36.5,30.95,nahso4 • h2o
46,35.7,32.55,nahso4 • h2o
46,35.36,33.25,nahso4 • h2o
46,33.08,33.22,na3h(so4)2
46,33.2,33.15,na3h(so4)2
46,33.16,33.01,na3h(so4)2
46,30.18,33.07,na3h(so4)2
46,29.3,33.15,na3h(so4)2
46,28.48,33.25,na3h(so4)2
46,27.15,33.65,na3h(so4)2
46,25.82,33.95,na3h(so4)2
46,24.6,34.4,na3h(so4)2
46,23.04,34.52,na3h(so4)2
46,22.93,34.73,?
46,21.82,34.87,?
46,21.32,34.97,?
46,20.5,35.15,?
46,19.18,35.63,?
46,18.12,35.94,na2so4
46,18.08,35.0,na2so4
46,16.17,34.6,na2so4
46,15.57,34.08,na2so4
46,14.87,34.14,na2so4
46,14.9,34.1,na2so4
46,14.4,33.7,na2so4
46,10.8,33.01,na2so4
46,8.0,32.62,na2so4
46,6.27,32.54,na2so4
46,3.47,32.4,na2so4
46,,,none
