temp,h2so4,na2so4,solid
32.5,19.73,38.63,na2so4
32.5,18.15,37.29,na2so4
32.5,16.58,36.44,na2so4
32.5,14.32,35.18,na2so4
32.5,6.49,31.72,na2so4
