temp,h2so4,na2so4,solid
49.49°C,8.35,,nahso4·h2o
49.49°C,48.15,8.96,nahso4·h2o
49.49°C,45.5,10.51,nahso4·h2o
49.49°C,37.22,19.0,nahso4·h2o
49.49°C,36.65,19.62,nahso4·h2o
49.49°C,32.79,26.54,nahso4·h2o
49.49°C,32.64,26.87,nahso4·h2o
49.49°C,32.53,27.81,nahso4·h2o
49.49°C,30.6,28.32,na3h(so4)2
49.49°C,29.7,29.22,na3h(so4)2
49.49°C,27.35,29.79,na3h(so4)2
49.49°C,26.99,29.74,na3h(so4)2
49.49°C,24.98,30.86,na3h(so4)2
49.49°C,22.95,32.38,na3h(so4)2
49.49°C,21.37,32.69,na3h(so4)2
49.49°C,19.49,33.19,na3h(so4)2
49.49°C,19.1,33.49,na3h(so4)2
49.49°C,17.31,34.37,na2so4
49.49°C,16.04,33.93,na2so4
49.49°C,15.62,34.01,na2so4
49.49°C,15.6,34.02,na2so4
49.49°C,14.38,33.75,na2so4
49.49°C,13.83,33.34,na2so4
49.49°C,10.05,32.51,na2so4
49.49°C,8.52,32.42,na2so4
49.49°C,6.99,32.6,na2so4
