temp,h2so4,na2so4,solid
29.5°C,62.55,4.59,nahso4
29.5°C,59.96,5.7,nahso4 + na3h(so4)2 + nahso4·h2o
29.5°C,55.13,7.85,nahso4·h2o
29.5°C,,,none
