date,iso,partner,price,mass,value,qty,qty_units,qty_unit_code,aggrLevel,altQty,altQtyUnitAbbr,altQtyUnitCode,cifvalue,classificationCode,classificationSearchCode,cmdCode,cmdDesc,customsCode,customsDesc,flowCode,flowDesc,fobvalue,freqCode,grossWgt,isAggregate,isAltQtyEstimated,isGrossWgtEstimated,isLeaf,isNetWgtEstimated,isOriginalClassification,isQtyEstimated,isReported,legacyEstimationFlag,mosCode,motCode,motDesc,netWgt,partner2Code,partner2Desc,partner2ISO,partnerCode,partnerDesc,partnerISO,period,primaryValue,qtyUnitAbbr,qtyUnitCode,refMonth,refPeriodId,refYear,reporterCode,reporterDesc,reporterISO,typeCode,kind
2024-01-01,SWE,W00,0.24388571951464327,8811462.997,2148989.993,8811462.997,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,2148989.993,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,8811462.997,0,World,W00,0,World,W00,202401,2148989.993,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,AUT,0.2466247238130073,18809.72,4638.942,18809.72,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,4638.942,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,18809.72,0,World,W00,40,Austria,AUT,202401,4638.942,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,BEL,0.5604915941320293,409000.0,229241.062,409000.0,kg,8,4,409000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,229241.062,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,409000.0,0,World,W00,56,Belgium,BEL,202401,229241.062,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,CHL,0.2784285714285714,42000.0,11694.0,42000.0,kg,8,4,42000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,11694.0,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,42000.0,0,World,W00,152,Chile,CHL,202401,11694.0,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,CHN,0.2466247097316434,17634.113,4349.008,17634.113,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,4349.008,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,17634.113,0,World,W00,156,China,CHN,202401,4349.008,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,DNK,0.13094925089052056,2748428.109,359904.602,2748428.109,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,359904.602,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,2748428.109,0,World,W00,208,Denmark,DNK,202401,359904.602,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,EST,0.18279796569985765,23262.644,4252.364,23262.644,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,4252.364,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,23262.644,0,World,W00,233,Estonia,EST,202401,4252.364,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,FIN,0.3892510577458462,143259.603,55763.952,143259.603,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,55763.952,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,143259.603,0,World,W00,246,Finland,FIN,202401,55763.952,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,FRA,0.3824784424242424,165000.0,63108.943,165000.0,kg,8,4,165000.0,kg,8,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,63108.943,M,0.0,True,False,False,False,False,True,False,False,0,0,0,TOTAL MOT,165000.0,0,World,W00,251,France,FRA,202401,63108.943,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,DEU,0.3341447908583161,205063.927,68521.043,205063.927,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,68521.043,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,205063.927,0,World,W00,276,Germany,DEU,202401,68521.043,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
2024-01-01,SWE,ISL,0.2466247447245,43889.347,10824.199,43889.347,kg,8,4,0.0,N/A,-1,,H6,HS,2833,Sulphates; alums; peroxosulphates (persulphates),C00,TOTAL CPC,X,Export,10824.199,M,0.0,True,False,False,False,True,True,True,False,6,0,0,TOTAL MOT,43889.347,0,World,W00,352,Iceland,ISL,202401,10824.199,kg,8,1,20240101,2024,752,Sweden,SWE,C,export
