month_year,chemical_name,iso,price_units,value_units,mass_units,mass_import,mass_export,mass_total,fraction_import,value_import,value_export,value_total,price_total,trade_balance,price_premium,price_transport,price_adjusted,year,month
2023-01,potassium chloride,CAN,$/tonne,$,tonne,215.601,1501906.0,1502121.601,0.00014353098967251986,285836.89,855046221.548,855332058.438,569.4159899362235,export,56.94159899362235,15.0,641.3575889298459,2023,1
2023-01,potassium chloride,CHN,$/tonne,$,tonne,939766.947408,17519.775,957286.722408,0.9816985083048786,505494214.0,10995317.0,516489531.0,539.5348320519897,import,53.95348320519898,15.0,608.4883152571887,2023,1
2023-01,potassium chloride,DEU,$/tonne,$,tonne,8217.737000000001,284925.259551,293142.99655100005,0.02803320255536211,3349190.2309999997,174683130.55399996,178032320.78499997,607.3224429021162,export,60.732244290211625,15.0,683.0546871923278,2023,1
2023-01,potassium chloride,FRA,$/tonne,$,tonne,12573.170000000002,206.48991899999996,12779.659919000002,0.9838422993797352,9511062.341,207919.238,9718981.579,760.5039289465304,import,76.05039289465304,15.0,851.5543218411835,2023,1
2023-01,potassium chloride,GBR,$/tonne,$,tonne,12763.437,20461.612999999998,33225.049999999996,0.38415102460342426,9966544.287999999,6514821.569,16481365.856999999,496.05240193769464,balanced,49.60524019376947,15.0,560.6576421314641,2023,1
2023-01,potassium chloride,IND,$/tonne,$,tonne,168151.84227999998,103.146204,168254.98848399997,0.9993869649575959,95448861.30399999,92562.817,95541424.12099999,567.8370964322725,import,56.78370964322725,15.0,639.6208060754997,2023,1
2023-01,potassium chloride,SWE,$/tonne,$,tonne,1637.560315,27.103450000000002,1664.663765,0.9837183636900992,1965954.4720000003,37766.163,2003720.6350000002,1203.6788912744792,import,120.36788912744792,15.0,1339.046780401927,2023,1
2023-01,potassium chloride,TUR,$/tonne,$,tonne,68846.473,769.4100000000001,69615.883,0.9889477807815782,41060759.0,583978.0,41644737.0,598.2074090764603,import,59.820740907646034,15.0,673.0281499841063,2023,1
2023-01,potassium chloride,USA,$/tonne,$,tonne,927092.0,275243.0,1202335.0,0.7710762807370658,469908542.0,134277620.0,604186162.0,502.51066632843595,balanced,50.251066632843596,15.0,567.7617329612796,2023,1
2023-01,potassium sulphate,CAN,$/tonne,$,tonne,1346.3519999999999,2924.373,4270.725,0.31525139174261974,867284.266,2651827.0910000005,3519111.3570000003,824.0079511090038,balanced,82.40079511090039,15.0,921.4087462199042,2023,1
